ID: 	Cond	Block	AvgRxnT	Accuracy
delete_1_pre	TESTR	RandBeg	0	0.0
delete_1_pre	TESTR	Rep1	0	0.0
delete_1_pre	TESTR	Rep2	0	0.0
delete_1_pre	TESTR	Rep3	0	0.0
delete_1_pre	TESTR	Rep4	0	0.0
delete_1_pre	TESTR	Rep5	0	0.0
delete_1_pre	TESTR	Rep6	0	0.0
delete_1_pre	TESTR	Rep7	0	0.0
delete_1_pre	TESTR	Rep8	0	0.0
delete_1_pre	TESTR	Rep9	0	0.0
delete_1_pre	TESTR	Rep10	0	0.0
delete_1_pre	TESTR	Rep11	0	0.0
delete_1_pre	TESTR	Rep12	0	0.0
delete_1_pre	TESTR	Rep13	0	0.0
delete_1_pre	TESTR	Rep14	0	0.0
delete_1_pre	TESTR	Rep15	0	0.0
delete_1_pre	TESTR	RepAvg	0	0.0
delete_1_pre	TESTR	RandEnd	0	0.0
delete_1_pre	TESTR	Overall	0	0.0
End at 0

ID: 	Cond	Block	AvgRxnT	Accuracy
delete_1_pre	TESTR	RandBeg	0	0.0
delete_1_pre	TESTR	Rep1	0	0.0
delete_1_pre	TESTR	Rep2	0	0.0
delete_1_pre	TESTR	Rep3	0	0.0
delete_1_pre	TESTR	Rep4	0	0.0
delete_1_pre	TESTR	Rep5	0	0.0
delete_1_pre	TESTR	Rep6	0	0.0
delete_1_pre	TESTR	Rep7	0	0.0
delete_1_pre	TESTR	Rep8	0	0.0
delete_1_pre	TESTR	Rep9	0	0.0
delete_1_pre	TESTR	Rep10	0	0.0
delete_1_pre	TESTR	Rep11	0	0.0
delete_1_pre	TESTR	Rep12	0	0.0
delete_1_pre	TESTR	Rep13	0	0.0
delete_1_pre	TESTR	Rep14	0	0.0
delete_1_pre	TESTR	Rep15	0	0.0
delete_1_pre	TESTR	RepAvg	0	0.0
delete_1_pre	TESTR	RandEnd	0	0.0
delete_1_pre	TESTR	Overall	0	0.0
End at 0

ID: 	Cond	Block	AvgRxnT	Accuracy
delete_1_pre	TESTR	RandBeg	0	0.0
delete_1_pre	TESTR	Rep1	0	0.0
delete_1_pre	TESTR	Rep2	0	0.0
delete_1_pre	TESTR	Rep3	0	0.0
delete_1_pre	TESTR	Rep4	0	0.0
delete_1_pre	TESTR	Rep5	0	0.0
delete_1_pre	TESTR	Rep6	0	0.0
delete_1_pre	TESTR	Rep7	0	0.0
delete_1_pre	TESTR	Rep8	0	0.0
delete_1_pre	TESTR	Rep9	0	0.0
delete_1_pre	TESTR	Rep10	0	0.0
delete_1_pre	TESTR	Rep11	0	0.0
delete_1_pre	TESTR	Rep12	0	0.0
delete_1_pre	TESTR	Rep13	0	0.0
delete_1_pre	TESTR	Rep14	0	0.0
delete_1_pre	TESTR	Rep15	0	0.0
delete_1_pre	TESTR	RepAvg	0	0.0
delete_1_pre	TESTR	RandEnd	0	0.0
delete_1_pre	TESTR	Overall	0	0.0
End at 0

ID: 	Cond	Block	AvgRxnT	Accuracy
delete_1_pre	TESTR	RandBeg	346	1.0
delete_1_pre	TESTR	Rep1	0	0.0
delete_1_pre	TESTR	Rep2	0	0.0
delete_1_pre	TESTR	Rep3	0	0.0
delete_1_pre	TESTR	Rep4	0	0.0
delete_1_pre	TESTR	Rep5	0	0.0
delete_1_pre	TESTR	Rep6	0	0.0
delete_1_pre	TESTR	Rep7	0	0.0
delete_1_pre	TESTR	Rep8	0	0.0
delete_1_pre	TESTR	Rep9	0	0.0
delete_1_pre	TESTR	Rep10	0	0.0
delete_1_pre	TESTR	Rep11	0	0.0
delete_1_pre	TESTR	Rep12	0	0.0
delete_1_pre	TESTR	Rep13	0	0.0
delete_1_pre	TESTR	Rep14	0	0.0
delete_1_pre	TESTR	Rep15	0	0.0
delete_1_pre	TESTR	RepAvg	0	0.0
delete_1_pre	TESTR	RandEnd	0	0.0
delete_1_pre	TESTR	Overall	346	1.0
End at 5

ID: 	Cond	Block	AvgRxnT	Accuracy
delete_1_pre	TESTR	RandBeg	444	1.0
delete_1_pre	TESTR	Rep1	0	0.0
